time,DVESystem.client[3].dveResponse:vector
10.746845837944,0.304188
16.744022295084,0.301365
19.094537047768,0.65188
21.078319894647,0.635662
22.856762622166,0.414105
24.792537131069,0.34988
26.755972137495,0.313315
28.670694545331,0.228037
32.952218994205,0.509562
34.844227876665,0.40157
36.93500378309,0.492346
38.973073064593,0.530416
40.73171458935,0.289057
42.935571931551,0.492914
44.902896743804,0.460239
47.082717248804,0.64006
48.967186945053,0.52453
50.940769796267,0.498112
52.857272712234,0.414615
55.257722749275,0.815065
57.232962155747,0.790305
58.989656431573,0.546999
60.792651741913,0.349994
63.174198033809,0.731541
64.623585477621,0.180928
67.389603709239,0.946946
69.041952949309,0.599296
70.95742929441,0.514772
73.338508429961,0.895851
75.008199242959,0.565542
77.053879881797,0.611222
78.711818245168,0.269161
81.481408969787,1.03875
82.978994179877,0.536337
87.425243722341,0.982586
88.919420866257,0.476763
90.618032768191,0.175375
93.29039996337,0.847743
94.769519497167,0.326862
96.569881563606,0.127224
99.133417617958,0.69076
100.955434254655,0.512777
102.829229909051,0.386572
105.02560789688,0.58295
107.649061973099,1.2064
108.68798348956,0.245326
110.804695120751,0.362038
112.668087031691,0.22543
114.936197446747,0.49354
116.643339868015,0.200682
118.863341060937,0.420684
120.906714635806,0.464057
122.830859373959,0.388202
124.715118762715,0.272461
127.162868404544,0.720211
129.45123139504,1.00857
130.884934775256,0.442277
132.815618785005,0.372961
134.658061154116,0.215404
136.934940498551,0.492283
138.703668520046,0.261011
140.900041812567,0.457384
143.299084680958,0.856427
144.843334684776,0.400677
146.783358211951,0.340701
149.427002064683,0.984345
151.419480050155,0.976823
153.333797299583,0.89114
154.978443669656,0.535786
157.011682330401,0.569025
158.954989722582,0.512332
161.021657108639,0.579
162.938766940874,0.496109
164.836676003687,0.394019
167.521358791393,1.0787
168.81579811756,0.373141
170.883651013517,0.440994
173.162155725912,0.719498
174.898244858839,0.455587
177.186282256561,0.743625
178.910263555889,0.467606
180.713652948573,0.270996
188.602938443479,0.160281
190.985333155837,0.542676
193.479214519528,1.03656
195.003973583505,0.561316
196.676044330834,0.233387
198.751284977997,0.308628
201.232601454784,0.789944
203.123923904474,0.681266
204.801757933631,0.3591
206.806194635593,0.363537
