time,DVESystem.client[258].dveResponse:vector
5.586018654582,0.685243
7.65406266501,0.753287
9.178470653334,0.277695
11.4041146669,0.503339
13.321720949166,0.420945
15.561970502212,0.661194
21.28168774776,0.380912
25.541932823109,0.641157
27.300751378248,0.399975
30.229279362454,1.3285
31.546038323588,0.645262
33.595032105288,0.694256
35.406599174664,0.505823
37.249725839726,0.34895
39.511257260495,0.610481
41.387460392497,0.486684
43.455112714735,0.554337
45.183667961575,0.282892
47.26246697132,0.361691
49.540938068886,0.640162
51.324453092012,0.423677
53.313348254496,0.412572
55.312415942607,0.41164
57.688648055747,0.787872
59.49435551774,0.593579
63.505383674151,0.604608
65.337099756641,0.436324
67.355988404304,0.455212
69.364961310987,0.464185
71.360123586361,0.459347
75.486094571199,0.585318
77.457769238834,0.556993
79.660420538524,0.759644
81.528569130931,0.627793
83.341312033356,0.440536
85.526262634354,0.625487
87.741276431347,0.8405
89.337819989627,0.437044
91.449223490185,0.548447
95.315563101444,0.414787
97.603846429287,0.70307
99.351799736727,0.451024
101.42672570627,0.52595
103.514862193857,0.614086
105.635538285889,0.734762
107.449851221613,0.549075
109.555103672938,0.654328
111.671326574996,0.77055
113.36652752241,0.465751
117.369081768772,0.468306
119.582228556325,0.681452
121.54709690056,0.646321
123.206671616965,0.305896
125.732562707202,0.831787
127.386052086116,0.485276
129.466776142001,0.566
131.496773386494,0.595997
133.8028181317,0.902042
135.298160764118,0.397385
137.39267777282,0.491902
139.273230655364,0.372455
141.571795908738,0.67102
143.562817117973,0.662041
145.608506270933,0.70773
147.543184128479,0.642408
149.457127294416,0.556351
151.951227887341,1.05045
153.225783312758,0.325007
155.582883098297,0.682107
157.31556172279,0.414786
159.199264273988,0.298488
161.324785219338,0.424009
163.395851998046,0.495076
165.52494583777,0.62417
167.347812646603,0.447037
169.509808007081,0.609032
171.375081905767,0.474306
173.219267888945,0.318492
175.37879307533,0.478017
177.33220099978,0.431425
179.419878200262,0.519102
181.487917152437,0.587141
183.359345858974,0.45857
187.373527864218,0.472752
189.261801776539,0.361026
191.29582021979,0.395044
193.105383922602,0.204608
195.546065932768,0.64529
197.739406490749,0.83863
199.663389635544,0.762614
203.192947010358,0.292171
